citizen,agedef,age,unit,sex,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
TOTAL,COMPLET,TOTAL,NR,T,AT	111869 	122547 	114465 	98535 	72862 b	73772 	69295 	70978 	82230 	91557 	101866 	116262 
TOTAL,COMPLET,TOTAL,NR,T,BE	112060 	117236 	132810 	137699 	146409 	: 	: 	135281 b	144698 	147387 b	118256 	124844 
TOTAL,COMPLET,TOTAL,NR,T,BG	: 	: 	: 	: 	1561 	: 	: 	: 	: 	14103 bp	18570 p	26615 p
TOTAL,COMPLET,TOTAL,NR,T,CH	119783 	120188 	118270 	127586 	165634 	184297 	160623 	161778 	148799 b	149051 	160157 	156282 
TOTAL,COMPLET,TOTAL,NR,T,CY	7981 	9003 	10320 	13077 	19328 	21060 	22581 b	20206 	23037 	17476 	13149 	9154 
TOTAL,COMPLET,TOTAL,NR,T,CZ	60015 	53453 	60294 	68183 	104445 	108267 b	75620 	48317 	27114 	34337 	30124 	29897 
TOTAL,COMPLET,TOTAL,NR,T,DE	768975 	780175 	707352 	661855 	680766 	682146 	346216 b	404055 	489422 	592175 	692713 	884893 
TOTAL,COMPLET,TOTAL,NR,T,DK	49754 	49860 	52458 	56750 	64656 	57357 b	51800 	52236 	52833 	54409 	60312 	68388 
TOTAL,COMPLET,TOTAL,NR,T,EE	967 	1097 	1436 	2234 	3741 	3671 b	3884 	2810 	3709 	2639 	4109 	3904 
TOTAL,COMPLET,TOTAL,NR,T,EL	63141 	66871 	70933 	63094 	63298 	66529 b	58613 	60462 	60089 	58200 	57946 	59013 
TOTAL,COMPLET,TOTAL,NR,T,ES	470010 	684561 	719284 	840844 	958266 	599075 b	392962 	360705 	371331 	304053 	280772 	305454 
TOTAL,COMPLET,TOTAL,NR,T,FI	17838 	20333 	21355 	22451 	26029 	29114 	26699 	25636 	29481 	31278 	31941 	31507 
TOTAL,COMPLET,TOTAL,NR,T,FR	: 	: 	: 	301544 b	293980 	296608 	296970 	307111 b	319816 	327431 	332640 	339902 
TOTAL,COMPLET,TOTAL,NR,T,HR	18455 	18383 	: 	14978 	14622 	: 	: 	: 	8534 b	8959 	10378 	10638 
TOTAL,COMPLET,TOTAL,NR,T,HU	21327 	24298 	27820 	25732 p	24361 	37652 b	27894 	25519 b	28018 	33702 	38968 	54581 
TOTAL,COMPLET,TOTAL,NR,T,IE	58875 	78075 	102000 	139434 b	122415 	82592 	50604 	52339 	53224 	54439 	59294 p	67401 p
TOTAL,COMPLET,TOTAL,NR,T,IS	3704 	5350 	7773 	9832 	12546 	10288 	3921 b	3948 	4073 	4960 	6406 	5368 
TOTAL,COMPLET,TOTAL,NR,T,IT	440301 	414880 	304960 	279714 	527123 	534712 b	442940 	458856 	385793 	350772 	307454 	277631 
TOTAL,COMPLET,TOTAL,NR,T,LI	: 	: 	: 	: 	: 	578 b	584 	591 	650 	671 	696 	615 
TOTAL,COMPLET,TOTAL,NR,T,LT	4728 	5553 	6789 	7745 	8609 	9297 	6487 	5213 	15685 	19843 	22011 	24294 
TOTAL,COMPLET,TOTAL,NR,T,LU	13158 	12872 	14397 	14352 	16675 	17758 	15751 	16962 	20268 	20478 	21098 	22332 
TOTAL,COMPLET,TOTAL,NR,T,LV	4063 	4844 	6691 	8212 	7517 	4678 	3731 	4011 	10234 	13303 	8299 	10365 
TOTAL,COMPLET,TOTAL,NR,T,MT	: 	: 	2075 	3889 	5292 	6043 	6161 	4275 	5465 	7111 	8428 	8946 
TOTAL,COMPLET,TOTAL,NR,T,NL	104514 	94019 	92297 	101150 	116819 	143516 	122917 b	126776 	130118 	124566 	129428 	145323 
TOTAL,COMPLET,TOTAL,NR,T,NO	35957 	36482 	40148 	45776 	61774 	58123 b	55953 	69214 	70337 	69908 	68313 	66903 
TOTAL,COMPLET,TOTAL,NR,T,PL	7048 	9495 	9364 	10802 	14995 	15275 	189166 b	155131 	157059 	217546 	220311 	222275 p
TOTAL,COMPLET,TOTAL,NR,T,PT	31425 	21093 	21741 	22741 	29661 	29718 	32307 	27575 	19667 	14606 	17554 	19516 
